✅ Mamba-SSM CUDA Kernel detected!
=== LAUNCHING MAMBA BASELINE (FULL TEXT8) ===
Config: {'dataset': 'text8', 'vocab_size': 27, 'd_model': 320, 'n_layers': 6, 'dropout': 0.1, 'lr': 0.0004, 'batch_size': 16, 'seq_len': 256, 'epochs': 1, 'subset_size': 100000000, 'grad_clip': 1.0, 'save_every': 5000}
Loading text8...
Train: 90,000,000 | Valid: 10,000,000
Mamba Params: 4,064,347
Starting training for 21973 steps...
Batch 7100 | Loss: 2.4059 | BPC: 3.471 | Speed: 105146 tok/s
Batch 7200 | Loss: 2.3819 | BPC: 3.436 | Speed: 105342 tok/s
Batch 7300 | Loss: 2.3961 | BPC: 3.457 | Speed: 105276 tok/s
Batch 7400 | Loss: 2.3806 | BPC: 3.435 | Speed: 104226 tok/s
Batch 7500 | Loss: 2.3973 | BPC: 3.459 | Speed: 103956 tok/s
Batch 7600 | Loss: 2.3645 | BPC: 3.411 | Speed: 105372 tok/s
Batch 7700 | Loss: 2.4137 | BPC: 3.482 | Speed: 105384 tok/s
Batch 7800 | Loss: 2.3699 | BPC: 3.419 | Speed: 105314 tok/s
Batch 7900 | Loss: 2.4047 | BPC: 3.469 | Speed: 104150 tok/s
Batch 8000 | Loss: 2.4600 | BPC: 3.549 | Speed: 104436 tok/s
Batch 8100 | Loss: 2.3932 | BPC: 3.453 | Speed: 105403 tok/s
Batch 8200 | Loss: 2.3666 | BPC: 3.414 | Speed: 105279 tok/s
Batch 8300 | Loss: 2.3789 | BPC: 3.432 | Speed: 104883 tok/s
Batch 8400 | Loss: 2.3789 | BPC: 3.432 | Speed: 104008 tok/s
Batch 8500 | Loss: 2.3982 | BPC: 3.460 | Speed: 104648 tok/s
Batch 8600 | Loss: 2.4138 | BPC: 3.482 | Speed: 105413 tok/s
Batch 8700 | Loss: 2.3950 | BPC: 3.455 | Speed: 105349 tok/s
Batch 8800 | Loss: 2.3930 | BPC: 3.452 | Speed: 104720 tok/s
Batch 8900 | Loss: 2.3523 | BPC: 3.394 | Speed: 104147 tok/s
Batch 9000 | Loss: 2.4364 | BPC: 3.515 | Speed: 104866 tok/s
Batch 9100 | Loss: 2.4115 | BPC: 3.479 | Speed: 105389 tok/s
Batch 9200 | Loss: 2.4052 | BPC: 3.470 | Speed: 105392 tok/s
Batch 9300 | Loss: 2.4161 | BPC: 3.486 | Speed: 104464 tok/s
Batch 9400 | Loss: 2.4058 | BPC: 3.471 | Speed: 104165 tok/s
Batch 9500 | Loss: 2.3923 | BPC: 3.451 | Speed: 105182 tok/s
Batch 9600 | Loss: 2.3772 | BPC: 3.430 | Speed: 105397 tok/s
Batch 9700 | Loss: 2.4147 | BPC: 3.484 | Speed: 105308 tok/s
Batch 9800 | Loss: 2.4259 | BPC: 3.500 | Speed: 104135 tok/s
Batch 9900 | Loss: 2.4277 | BPC: 3.502 | Speed: 104016 tok/s
Batch 10000 | Loss: 2.3939 | BPC: 3.454 | Speed: 105368 tok/s
Batch 10100 | Loss: 2.4359 | BPC: 3.514 | Speed: 104763 tok/s
Batch 10200 | Loss: 2.3940 | BPC: 3.454 | Speed: 105264 tok/s
Batch 10300 | Loss: 2.3928 | BPC: 3.452 | Speed: 104156 tok/s
Batch 10400 | Loss: 2.3828 | BPC: 3.438 | Speed: 104353 tok/s
Batch 10500 | Loss: 2.4115 | BPC: 3.479 | Speed: 105399 tok/s
Batch 10600 | Loss: 2.3729 | BPC: 3.423 | Speed: 105370 tok/s
Batch 10700 | Loss: 2.4113 | BPC: 3.479 | Speed: 104907 tok/s
Batch 10800 | Loss: 2.3866 | BPC: 3.443 | Speed: 104175 tok/s
Batch 10900 | Loss: 2.4008 | BPC: 3.464 | Speed: 104709 tok/s
Batch 11000 | Loss: 2.3998 | BPC: 3.462 | Speed: 105494 tok/s
Batch 11100 | Loss: 2.4113 | BPC: 3.479 | Speed: 105424 tok/s
Batch 11200 | Loss: 2.3860 | BPC: 3.442 | Speed: 104701 tok/s
Batch 11300 | Loss: 2.4112 | BPC: 3.479 | Speed: 104058 tok/s
Batch 11400 | Loss: 2.2911 | BPC: 3.305 | Speed: 104849 tok/s
Batch 11500 | Loss: 2.3389 | BPC: 3.374 | Speed: 105348 tok/s
Batch 11600 | Loss: 2.4016 | BPC: 3.465 | Speed: 105325 tok/s
Batch 11700 | Loss: 2.3929 | BPC: 3.452 | Speed: 104440 tok/s
Batch 11800 | Loss: 2.4161 | BPC: 3.486 | Speed: 104166 tok/s
Batch 11900 | Loss: 2.3844 | BPC: 3.440 | Speed: 105150 tok/s
Batch 12000 | Loss: 2.4071 | BPC: 3.473 | Speed: 105387 tok/s
Batch 12100 | Loss: 2.4090 | BPC: 3.476 | Speed: 105319 tok/s
Batch 12200 | Loss: 2.4188 | BPC: 3.490 | Speed: 104317 tok/s
Batch 12300 | Loss: 2.4131 | BPC: 3.481 | Speed: 104149 tok/s
Batch 12400 | Loss: 2.3836 | BPC: 3.439 | Speed: 105271 tok/s
Batch 12500 | Loss: 2.4207 | BPC: 3.492 | Speed: 105335 tok/s
Batch 12600 | Loss: 2.3644 | BPC: 3.411 | Speed: 105276 tok/s
Batch 12700 | Loss: 2.3247 | BPC: 3.354 | Speed: 104085 tok/s
Batch 12800 | Loss: 2.3845 | BPC: 3.440 | Speed: 104258 tok/s
Batch 12900 | Loss: 2.3486 | BPC: 3.388 | Speed: 105402 tok/s
Batch 13000 | Loss: 2.4558 | BPC: 3.543 | Speed: 105418 tok/s
Batch 13100 | Loss: 2.3781 | BPC: 3.431 | Speed: 105083 tok/s
Batch 13200 | Loss: 2.4000 | BPC: 3.462 | Speed: 104052 tok/s
Batch 13300 | Loss: 2.3645 | BPC: 3.411 | Speed: 104598 tok/s
Batch 13400 | Loss: 2.3908 | BPC: 3.449 | Speed: 105397 tok/s
Batch 13500 | Loss: 2.3677 | BPC: 3.416 | Speed: 105394 tok/s
Batch 13600 | Loss: 2.3939 | BPC: 3.454 | Speed: 104869 tok/s
Batch 13700 | Loss: 2.3647 | BPC: 3.412 | Speed: 104115 tok/s
Batch 13800 | Loss: 2.4001 | BPC: 3.463 | Speed: 104852 tok/s
Batch 13900 | Loss: 2.3429 | BPC: 3.380 | Speed: 105417 tok/s
Batch 14000 | Loss: 2.4108 | BPC: 3.478 | Speed: 105440 tok/s
Batch 14100 | Loss: 2.3628 | BPC: 3.409 | Speed: 104541 tok/s
Batch 14200 | Loss: 2.3939 | BPC: 3.454 | Speed: 104200 tok/s
