=== LAUNCHING LONG RUN ON cuda ===
Config: {'dataset': 'text8', 'vocab_size': 27, 'd_model': 256, 'n_layers': 4, 'dropout': 0.1, 'lr': 0.0003, 'batch_size': 8, 'seq_len': 128, 'epochs': 1, 'subset_size': 20000000, 'grad_clip': 0.5, 'save_every': 5000}
Downloading text8...
Using subset: 20,000,000 chars
Train tokens: 19,000,000
Valid tokens: 600,000
INNv2 Parameters: 2,964,763
Total batches: 18554
Batch 6600/18554 | Loss: 0.7875 | BPC: 1.136 | Speed: 3364 tok/s
Batch 6700/18554 | Loss: 0.7802 | BPC: 1.126 | Speed: 3364 tok/s
Batch 6800/18554 | Loss: 0.7732 | BPC: 1.115 | Speed: 3364 tok/s
Batch 6900/18554 | Loss: 0.7664 | BPC: 1.106 | Speed: 3364 tok/s
Batch 7000/18554 | Loss: 0.7598 | BPC: 1.096 | Speed: 3364 tok/s
Batch 7100/18554 | Loss: 0.7533 | BPC: 1.087 | Speed: 3364 tok/s
Batch 7200/18554 | Loss: 0.7470 | BPC: 1.078 | Speed: 3364 tok/s
Batch 7300/18554 | Loss: 0.7409 | BPC: 1.069 | Speed: 3365 tok/s
Batch 7400/18554 | Loss: 0.7349 | BPC: 1.060 | Speed: 3365 tok/s
Batch 7500/18554 | Loss: 0.7291 | BPC: 1.052 | Speed: 3365 tok/s
Batch 7600/18554 | Loss: 0.7234 | BPC: 1.044 | Speed: 3365 tok/s
Batch 7700/18554 | Loss: 0.7179 | BPC: 1.036 | Speed: 3365 tok/s
Batch 7800/18554 | Loss: 0.7125 | BPC: 1.028 | Speed: 3365 tok/s
Batch 7900/18554 | Loss: 0.7073 | BPC: 1.020 | Speed: 3365 tok/s
Batch 8000/18554 | Loss: 0.7022 | BPC: 1.013 | Speed: 3365 tok/s
Batch 8100/18554 | Loss: 0.6973 | BPC: 1.006 | Speed: 3365 tok/s
Batch 8200/18554 | Loss: 0.6924 | BPC: 0.999 | Speed: 3365 tok/s
Batch 8300/18554 | Loss: 0.6877 | BPC: 0.992 | Speed: 3365 tok/s
Batch 8400/18554 | Loss: 0.6831 | BPC: 0.985 | Speed: 3365 tok/s
Batch 8500/18554 | Loss: 0.6786 | BPC: 0.979 | Speed: 3365 tok/s
Batch 8600/18554 | Loss: 0.6741 | BPC: 0.973 | Speed: 3365 tok/s
Batch 8700/18554 | Loss: 0.6698 | BPC: 0.966 | Speed: 3365 tok/s
Batch 8800/18554 | Loss: 0.6656 | BPC: 0.960 | Speed: 3365 tok/s
Batch 8900/18554 | Loss: 0.6614 | BPC: 0.954 | Speed: 3365 tok/s
Batch 9000/18554 | Loss: 0.6574 | BPC: 0.948 | Speed: 3365 tok/s
Batch 9100/18554 | Loss: 0.6535 | BPC: 0.943 | Speed: 3365 tok/s
Batch 9200/18554 | Loss: 0.6496 | BPC: 0.937 | Speed: 3366 tok/s
Batch 9300/18554 | Loss: 0.6459 | BPC: 0.932 | Speed: 3366 tok/s
Batch 9400/18554 | Loss: 0.6422 | BPC: 0.926 | Speed: 3366 tok/s
Batch 9500/18554 | Loss: 0.6385 | BPC: 0.921 | Speed: 3366 tok/s
Batch 9600/18554 | Loss: 0.6350 | BPC: 0.916 | Speed: 3366 tok/s
Batch 9700/18554 | Loss: 0.6315 | BPC: 0.911 | Speed: 3366 tok/s
Batch 9800/18554 | Loss: 0.6281 | BPC: 0.906 | Speed: 3366 tok/s
Batch 9900/18554 | Loss: 0.6248 | BPC: 0.901 | Speed: 3366 tok/s
Batch 10000/18554 | Loss: 0.6215 | BPC: 0.897 | Speed: 3366 tok/s
💾 Checkpoint saved: models/inn_text8_20M_step10000.pth
Batch 10100/18554 | Loss: 0.6184 | BPC: 0.892 | Speed: 3366 tok/s
Batch 10200/18554 | Loss: 0.6152 | BPC: 0.888 | Speed: 3366 tok/s
