✅ Mamba-SSM CUDA Kernel detected!
=== LAUNCHING MAMBA BASELINE (FULL TEXT8) ===
Config: {'dataset': 'text8', 'vocab_size': 27, 'd_model': 256, 'n_layers': 6, 'dropout': 0.1, 'lr': 0.0004, 'batch_size': 16, 'seq_len': 256, 'epochs': 1, 'subset_size': 100000000, 'grad_clip': 1.0, 'save_every': 5000}
Loading text8...
Train: 90,000,000 | Valid: 10,000,000
Mamba Params: 2,637,083
Starting training for 21973 steps...
Batch 7100 | Loss: 2.4080 | BPC: 3.474 | Speed: 132497 tok/s
Batch 7200 | Loss: 2.3847 | BPC: 3.440 | Speed: 132261 tok/s
Batch 7300 | Loss: 2.3848 | BPC: 3.441 | Speed: 130666 tok/s
Batch 7400 | Loss: 2.3771 | BPC: 3.429 | Speed: 130555 tok/s
Batch 7500 | Loss: 2.3958 | BPC: 3.456 | Speed: 130560 tok/s
Batch 7600 | Loss: 2.3618 | BPC: 3.407 | Speed: 130756 tok/s
Batch 7700 | Loss: 2.4135 | BPC: 3.482 | Speed: 131895 tok/s
Batch 7800 | Loss: 2.3676 | BPC: 3.416 | Speed: 132519 tok/s
Batch 7900 | Loss: 2.3929 | BPC: 3.452 | Speed: 132498 tok/s
Batch 8000 | Loss: 2.4504 | BPC: 3.535 | Speed: 132477 tok/s
Batch 8100 | Loss: 2.3936 | BPC: 3.453 | Speed: 131184 tok/s
Batch 8200 | Loss: 2.3585 | BPC: 3.403 | Speed: 130700 tok/s
Batch 8300 | Loss: 2.3668 | BPC: 3.415 | Speed: 130679 tok/s
Batch 8400 | Loss: 2.3707 | BPC: 3.420 | Speed: 130695 tok/s
Batch 8500 | Loss: 2.3990 | BPC: 3.461 | Speed: 131049 tok/s
Batch 8600 | Loss: 2.4093 | BPC: 3.476 | Speed: 132453 tok/s
Batch 8700 | Loss: 2.3799 | BPC: 3.433 | Speed: 132453 tok/s
Batch 8800 | Loss: 2.3875 | BPC: 3.444 | Speed: 132539 tok/s
Batch 8900 | Loss: 2.3514 | BPC: 3.392 | Speed: 131892 tok/s
Batch 9000 | Loss: 2.4306 | BPC: 3.507 | Speed: 130751 tok/s
Batch 9100 | Loss: 2.4084 | BPC: 3.475 | Speed: 130713 tok/s
Batch 9200 | Loss: 2.3880 | BPC: 3.445 | Speed: 130764 tok/s
Batch 9300 | Loss: 2.4072 | BPC: 3.473 | Speed: 130721 tok/s
Batch 9400 | Loss: 2.3899 | BPC: 3.448 | Speed: 131813 tok/s
Batch 9500 | Loss: 2.3954 | BPC: 3.456 | Speed: 130626 tok/s
Batch 9600 | Loss: 2.3735 | BPC: 3.424 | Speed: 130704 tok/s
Batch 9700 | Loss: 2.4076 | BPC: 3.473 | Speed: 130660 tok/s
Batch 9800 | Loss: 2.4194 | BPC: 3.490 | Speed: 130065 tok/s
Batch 9900 | Loss: 2.4297 | BPC: 3.505 | Speed: 130621 tok/s
Batch 10000 | Loss: 2.3915 | BPC: 3.450 | Speed: 130774 tok/s
Batch 10100 | Loss: 2.4268 | BPC: 3.501 | Speed: 129987 tok/s
Batch 10200 | Loss: 2.3915 | BPC: 3.450 | Speed: 131575 tok/s
Batch 10300 | Loss: 2.4000 | BPC: 3.463 | Speed: 132535 tok/s
Batch 10400 | Loss: 2.3781 | BPC: 3.431 | Speed: 132503 tok/s
Batch 10500 | Loss: 2.4043 | BPC: 3.469 | Speed: 132481 tok/s
Batch 10600 | Loss: 2.3729 | BPC: 3.423 | Speed: 131565 tok/s
Batch 10700 | Loss: 2.4081 | BPC: 3.474 | Speed: 130873 tok/s
Batch 10800 | Loss: 2.3865 | BPC: 3.443 | Speed: 130638 tok/s
Batch 10900 | Loss: 2.3969 | BPC: 3.458 | Speed: 130735 tok/s
Batch 11000 | Loss: 2.3994 | BPC: 3.462 | Speed: 130848 tok/s
Batch 11100 | Loss: 2.4048 | BPC: 3.469 | Speed: 132621 tok/s
Batch 11200 | Loss: 2.3858 | BPC: 3.442 | Speed: 132559 tok/s
Batch 11300 | Loss: 2.4095 | BPC: 3.476 | Speed: 132575 tok/s
Batch 11400 | Loss: 2.2913 | BPC: 3.306 | Speed: 132229 tok/s
Batch 11500 | Loss: 2.3370 | BPC: 3.372 | Speed: 130800 tok/s
Batch 11600 | Loss: 2.3961 | BPC: 3.457 | Speed: 130642 tok/s
Batch 11700 | Loss: 2.3821 | BPC: 3.437 | Speed: 130754 tok/s
Batch 11800 | Loss: 2.4170 | BPC: 3.487 | Speed: 130695 tok/s
Batch 11900 | Loss: 2.3803 | BPC: 3.434 | Speed: 132093 tok/s
Batch 12000 | Loss: 2.4062 | BPC: 3.471 | Speed: 132510 tok/s
Batch 12100 | Loss: 2.4075 | BPC: 3.473 | Speed: 132593 tok/s
Batch 12200 | Loss: 2.4189 | BPC: 3.490 | Speed: 132493 tok/s
Batch 12300 | Loss: 2.4144 | BPC: 3.483 | Speed: 130899 tok/s
Batch 12400 | Loss: 2.3812 | BPC: 3.435 | Speed: 130764 tok/s
Batch 12500 | Loss: 2.4145 | BPC: 3.483 | Speed: 130808 tok/s
Batch 12600 | Loss: 2.3645 | BPC: 3.411 | Speed: 130836 tok/s
Batch 12700 | Loss: 2.3243 | BPC: 3.353 | Speed: 131321 tok/s
Batch 12800 | Loss: 2.3823 | BPC: 3.437 | Speed: 132568 tok/s
Batch 12900 | Loss: 2.3482 | BPC: 3.388 | Speed: 132477 tok/s
Batch 13000 | Loss: 2.4518 | BPC: 3.537 | Speed: 132554 tok/s
Batch 13100 | Loss: 2.3746 | BPC: 3.426 | Speed: 131739 tok/s
Batch 13200 | Loss: 2.3988 | BPC: 3.461 | Speed: 130829 tok/s
Batch 13300 | Loss: 2.3622 | BPC: 3.408 | Speed: 130765 tok/s
Batch 13400 | Loss: 2.3946 | BPC: 3.455 | Speed: 130907 tok/s
Batch 13500 | Loss: 2.3616 | BPC: 3.407 | Speed: 130622 tok/s
Batch 13600 | Loss: 2.3948 | BPC: 3.455 | Speed: 132482 tok/s
Batch 13700 | Loss: 2.3621 | BPC: 3.408 | Speed: 132534 tok/s
Batch 13800 | Loss: 2.3938 | BPC: 3.454 | Speed: 132512 tok/s
Batch 13900 | Loss: 2.3416 | BPC: 3.378 | Speed: 132276 tok/s
Batch 14000 | Loss: 2.4098 | BPC: 3.477 | Speed: 130769 tok/s
Batch 14100 | Loss: 2.3614 | BPC: 3.407 | Speed: 130719 tok/s
Batch 14200 | Loss: 2.3923 | BPC: 3.451 | Speed: 130599 tok/s
Batch 14300 | Loss: 2.3901 | BPC: 3.448 | Speed: 130716 tok/s
Batch 14400 | Loss: 2.3575 | BPC: 3.401 | Speed: 131884 tok/s
Batch 14500 | Loss: 2.3944 | BPC: 3.454 | Speed: 132624 tok/s
Batch 14600 | Loss: 2.4358 | BPC: 3.514 | Speed: 132465 tok/s
Batch 14700 | Loss: 2.3778 | BPC: 3.430 | Speed: 132574 tok/s
Batch 14800 | Loss: 2.4098 | BPC: 3.477 | Speed: 131346 tok/s
Batch 14900 | Loss: 2.4213 | BPC: 3.493 | Speed: 130826 tok/s
Batch 15000 | Loss: 2.3929 | BPC: 3.452 | Speed: 130555 tok/s
Batch 15100 | Loss: 2.3836 | BPC: 3.439 | Speed: 130048 tok/s
Batch 15200 | Loss: 2.3982 | BPC: 3.460 | Speed: 131304 tok/s
Batch 15300 | Loss: 2.3904 | BPC: 3.449 | Speed: 132537 tok/s
Batch 15400 | Loss: 2.3792 | BPC: 3.432 | Speed: 132615 tok/s
Batch 15500 | Loss: 2.4301 | BPC: 3.506 | Speed: 132471 tok/s
Batch 15600 | Loss: 2.3901 | BPC: 3.448 | Speed: 131789 tok/s
Batch 15700 | Loss: 2.3981 | BPC: 3.460 | Speed: 130814 tok/s
Batch 15800 | Loss: 2.3907 | BPC: 3.449 | Speed: 130663 tok/s
Batch 15900 | Loss: 2.3461 | BPC: 3.385 | Speed: 130613 tok/s
Batch 16000 | Loss: 2.3843 | BPC: 3.440 | Speed: 130738 tok/s
Batch 16100 | Loss: 2.4132 | BPC: 3.482 | Speed: 132120 tok/s
Batch 16200 | Loss: 2.3211 | BPC: 3.349 | Speed: 132503 tok/s
Batch 16300 | Loss: 2.3788 | BPC: 3.432 | Speed: 132623 tok/s
Batch 16400 | Loss: 2.3457 | BPC: 3.384 | Speed: 132503 tok/s
Batch 16500 | Loss: 2.4047 | BPC: 3.469 | Speed: 130412 tok/s
Batch 16600 | Loss: 2.3627 | BPC: 3.409 | Speed: 130609 tok/s
Batch 16700 | Loss: 2.4030 | BPC: 3.467 | Speed: 130309 tok/s
Batch 16800 | Loss: 2.4359 | BPC: 3.514 | Speed: 130516 tok/s
Batch 16900 | Loss: 2.3818 | BPC: 3.436 | Speed: 131663 tok/s
Batch 17000 | Loss: 2.3923 | BPC: 3.451 | Speed: 132625 tok/s
Batch 17100 | Loss: 2.3921 | BPC: 3.451 | Speed: 131150 tok/s
Batch 17200 | Loss: 2.4106 | BPC: 3.478 | Speed: 130247 tok/s
Batch 17300 | Loss: 2.3738 | BPC: 3.425 | Speed: 129915 tok/s
